Transformation,Emissions,Benefits,Cost,Source
Rehabilitating degraded land,Endogenously calculated,Ecosystem services of forests valued in Table B.2,"$45 / hectare / year to turn grassland or cropland to secondary forest


","Fargione et al. (2021), estimate a range of per-hectare costs of reforestation across the United States. We use the average for the US ($1,262/ha) and adjust to LAC, amortizing this cost over 15 years."
Slowing or ending deforestation ,Endogenously calculated,Ecosystem services of forests valued in  Table B.2,Foregone annual agricultural or livestock revenue (endogenously calculated based on the productivity per acre),See above table.
Increasing forest sequestration (FRST:INCREASE_SEQUESTRATION),Endogenously calculated (change in emission_co2e_co2_frst_sequestration_*),Ecosystem services of forests valued in Table B.2 (unchanged: the transformation does not add forest area),$20 / ton CO2e of additional sequestration (calibration default),"Unit cost of improved forest management / assisted natural regeneration. The transformation raises the per-hectare sequestration factor, so the cost is applied per additional ton sequestered rather than per hectare. Replace with country-specific costs; the equivalent per-hectare figure is $/tCO2e = ($/ha/year) / (additional tCO2/ha/year)."
